year,batch_size,instances
2014,1100,3
2014,1453,1
2014,34458,1
2014,1458,1
2014,1459,1
2014,1108,1
2014,4830,1
2014,4086,1
2014,13799,1
2014,3867,2
2014,3866,1
2014,3864,1
2014,8408,1
2014,1895,1
2014,1577,3
2014,9018,1
2014,7572,1
2014,7577,1
2014,12464,1
2014,5723,1
2014,6417,1
2014,6416,1
2014,9812,1
2014,1893,1
2014,3917,1
2014,4921,1
2014,6342,1
2014,4799,1
2014,4790,1
2014,4153,2
2014,9921,1
2014,3071,1
2014,216,8
2014,217,8
2014,214,11
2014,215,8
2014,212,17
2014,213,13
2014,210,12
2014,211,13
2014,11440,1
2014,218,10
2014,219,13
2014,578,5
2014,5943,1
2014,6086,2
2014,16564,1
2014,12075,1
2014,10810,1
2014,4,4653
2014,29946,1
2014,4368,1
2014,3482,1
2014,3487,1
2014,576,6
2014,2507,2
2014,4564,2
2014,3074,1
2014,2550,2
2014,2551,2
2014,2552,1
2014,2554,1
2014,2555,1
2014,2556,2
2014,3004,8
2014,2558,1
2014,3007,4
2014,9424,1
2014,2396,1
2014,63,62
2014,2390,1
2014,2391,1
2014,3001,26
2014,3000,54
2014,2778,2
2014,5011,1
2014,4898,1
2014,5015,2
2014,5016,1
2014,5017,1
2014,4893,1
2014,5019,1
2014,2772,1
2014,3002,9
2014,2774,1
2014,4895,1
2014,2777,1
2014,2724,1
2014,9142,1
2014,4710,1
2014,7972,1
2014,3281,1
2014,6261,1
2014,1853,1
2014,1854,3
2014,1855,3
2014,1857,2
2014,2172,1
2014,2173,1
2014,919,4
2014,918,3
2014,2174,1
2014,4968,2
2014,915,5
2014,917,3
2014,916,5
2014,911,3
2014,910,2
2014,913,5
2014,912,5
2014,41535,1
2014,2600,2
2014,49471,1
2014,5433,1
2014,1423,1
2014,3262,1
2014,1937,1
2014,1935,1
2014,3266,1
2014,5286,1
2014,5121,1
2014,24138,1
2014,847,1
2014,845,4
2014,844,5
2014,843,2
2014,842,3
2014,841,3
2014,840,2
2014,849,3
2014,848,3
2014,664,2
2014,459,5
2014,11927,1
2014,3035,2
2014,18210,1
2014,7011,1
2014,1739,2
2014,1731,1
2014,1732,1
2014,1734,1
2014,1737,2
2014,1736,2
2014,2404,3
2014,753,6
2014,752,5
2014,751,4
2014,750,3
2014,757,1
2014,756,2
2014,755,2
2014,754,2
2014,759,5
2014,758,4
2014,1595,1
2014,1032,3
2014,3072,1
2014,3781,1
2014,2958,2
2014,2959,1
2014,1592,1
2014,1599,3
2014,1598,1
2014,2952,2
2014,2953,1
2014,1025,2
2014,1027,1
2014,1026,3
2014,1021,4
2014,1020,1
2014,1023,3
2014,1022,3
2014,1036,2
2014,1028,1
2014,1037,1
2014,390,10
2014,1034,7
2014,1035,2
2014,605,2
2014,604,8
2014,607,3
2014,606,7
2014,601,3
2014,600,19
2014,603,5
2014,602,4
2014,1204,1
2014,1207,1
2014,1206,2
2014,609,5
2014,1200,5
2014,1203,3
2014,1202,1
2014,1211,1
2014,8279,1
2014,5645,1
2014,1217,1
2014,4996,1
2014,636,7
2014,3104,1
2014,3105,1
2014,3106,1
2014,12867,1
2014,3100,2
2014,1447,1
2014,1110,2
2014,1445,1
2014,1444,3
2014,1115,4
2014,1442,2
2014,1117,1
2014,1440,1
2014,1119,1
2014,1118,3
2014,1351,1
2014,1449,3
2014,1448,3
2014,466,12
2014,4095,1
2014,23210,1
2014,4099,1
2014,22343,1
2014,489,6
2014,488,8
2014,487,11
2014,486,5
2014,485,9
2014,1354,1
2014,483,5
2014,482,3
2014,481,4
2014,480,11
2014,35396,1
2014,7584,1
2014,6231,1
2014,50831,1
2014,2301,2
2014,51083,1
2014,2303,4
2014,3922,1
2014,1114,1
2014,3920,1
2014,3921,2
2014,95567,1
2014,60983,1
2014,47120,1
2014,4784,1
2014,5822,1
2014,4149,1
2014,15202,1
2014,4144,1
2014,23699,1
2014,4143,2
2014,3855,1
2014,9932,1
2014,3003,9
2014,35538,1
2014,6658,1
2014,6655,1
2014,23481,1
2014,5914,1
2014,5912,1
2014,199,36
2014,198,18
2014,8649,1
2014,195,21
2014,194,17
2014,197,33
2014,196,24
2014,191,11
2014,190,15
2014,193,14
2014,192,14
2014,6384,1
2014,3679,1
2014,19872,1
2014,16313,1
2014,3671,1
2014,4550,1
2014,4551,1
2014,2543,2
2014,1106,2
2014,2547,1
2014,2546,1
2014,1455,1
2014,11684,1
2014,21999,1
2014,2381,1
2014,2383,1
2014,2382,1
2014,2385,3
